id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,Turtle Check Men Navy Blue Shirt
39386,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,Peter England Men Party Blue Jeans
21379,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011,Casual,Manchester United Men Solid Black Track Pants
53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012,Casual,Puma Men Grey T-shirt
1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual,Inkfruit Mens Chain Reaction T-shirt
30805,Men,Apparel,Topwear,Shirts,Green,Summer,2012,Ethnic,Fabindia Men Striped Green Shirt
26960,Women,Apparel,Topwear,Shirts,Purple,Summer,2012,Casual,Jealous 21 Women Purple Shirt
29114,Men,Accessories,Socks,Socks,Navy Blue,Summer,2012,Casual,Puma Men Pack of 3 Socks
9204,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011,Casual,Puma Men Future Cat Remix SF Black Casual Shoes
48123,Women,Accessories,Belts,Belts,Black,Summer,2012,Casual,Fossil Women Black Huarache Weave Belt
18653,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011,Casual,Fila Men Cush Flex Black Slippers
47957,Women,Accessories,Bags,Handbags,Blue,Summer,2012,Casual,Murcia Women Blue Handbag
12369,Men,Apparel,Topwear,Shirts,Purple,Fall,2011,Formal,Reid & Taylor Men Check Purple Shirts
47359,Women,Accessories,Bags,Handbags,Brown,Summer,2012,Casual,Baggit Women Brown Handbag
12967,Men,Footwear,Sandal,Sandals,Black,Fall,2011,Casual,ADIDAS Men Spry M Black Sandals
13089,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,2011,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts
9036,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2011,Formal,Buckaroo Men Flores Black Formal Shoes
48311,Women,Accessories,Jewellery,Bracelet,Bronze,Winter,2012,Casual,Pitaraa Women Bronze Beaded Bracelet
7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Sports,Fila Men's Round Neck Navy Blue T-shirt
37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012,Formal,John Players Men Navy Blue Shirt
56825,Men,Apparel,Topwear,Shirts,Brown,Summer,2012,Casual,John Players Men Brown Shirt
59051,Women,Footwear,Shoes,Flats,Black,Winter,2012,Casual,Carlton London Women Black & Gold Toned Flats
20099,Women,Apparel,Topwear,Kurtas,Green,Fall,2011,Ethnic,Diva Women Embroided Green Kurta
58183,Women,Accessories,Bags,Handbags,White,Summer,2012,Casual,Rocky S Women White Handbag
29742,Women,Accessories,Bags,Handbags,Teal,Summer,2012,Casual,Kiara Women Teal Handbag
3954,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,Jealous 21 Women's Pink T-shirt
18839,Men,Accessories,Belts,Belts,Black,Fall,2011,Formal,Peter England Men Formal Black Belt
28690,Women,Apparel,Topwear,Kurtas,Beige,Summer,2012,Ethnic,W Women Printed Beige Kurta
8580,Men,Apparel,Topwear,Waistcoat,Grey,Fall,2011,Casual,Scullers Men  Grey Waistcoat
18005,Men,Apparel,Bottomwear,Shorts,Black,Summer,2011,Sports,Puma Men Long Logo Black Bermuda
9452,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Formal,John Miller Men Stripes White Red Shirts
38402,Women,Accessories,Belts,Belts,Black,Summer,2012,Casual,Baggit Women Hood Dabang Black Belt
10268,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2012,Formal,Clarks Men Hang Work Leather Black Formal Shoes
45856,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012,Ethnic,Vishudh Women Brown Kurta
59435,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012,Formal,Arrow Men Black Formal Shoes
5891,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Puma Men's Stripe Polo Black T-shirt
38630,Women,Apparel,Topwear,Tshirts,Purple,Summer,2012,Casual,Nike Women Purple Polo T-shirt
4943,Men,Apparel,Topwear,Shirts,White,Summer,2011,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear
10866,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Wrangler Men Motor Rider Red T-Shirts
59607,Women,Apparel,Saree,Sarees,Grey,Fall,2012,Ethnic,FNF Pink & Grey Wedding Collection Sari
15528,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Puma Men Scribble Black Tshirts
42841,Women,Accessories,Bags,Handbags,Beige,Summer,2012,Casual,French Connection Women Beige Handbag
22198,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2012,Casual,Timberland Men Black Casual Shoes
29570,Men,Footwear,Shoes,Casual Shoes,Purple,Summer,2012,Casual,Vans Men Classic Slip-On Purple & Black Shoes
6628,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011,Sports,ADIDAS Men's Lowell White Silver Shoe
54924,Men,Apparel,Bottomwear,Shorts,Blue,Summer,2012,Casual,Do U Speak Green Men Blue Shorts
26538,Men,Footwear,Shoes,Casual Shoes,Red,Fall,2012,Casual,ID Men Red Shoes
35913,Women,Accessories,Bags,Handbags,Black,Summer,2012,Casual,Peperone Women Black & White Handbag
49495,Men,Footwear,Shoes,Casual Shoes,Khaki,Summer,2012,Casual,Vans Men Khaki Shoes
9660,Men,Apparel,Topwear,Shirts,Pink,Fall,2011,Casual,Indigo Nation Men Reversible Bling Pink Shirts
23876,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011,Casual,ADIDAS Men Blue Sweatshirt
18237,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Manchester United Men Solid Red Tshirt
54118,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,Rocia Women Black Flats
49653,Women,Apparel,Topwear,Tops,Green,Summer,2012,Casual,Mineral Women Green Top
8574,Women,Footwear,Sandal,Sandals,Pink,Fall,2011,Casual,Crocs Dora Boots Pink Sandals
19123,Men,Footwear,Flip Flops,Flip Flops,Silver,Fall,2011,Casual,Lotto Men XL Water Man Silver Slippers
13419,Men,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts
48781,Women,Accessories,Jewellery,Pendant,Silver,Summer,2012,Casual,Lucera Women Silver Pendant
33822,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,Puma Men Axis White & Grey Sports Shoes
58513,Women,Apparel,Topwear,Tops,Off White,Summer,2012,Casual,Tonga Women Maroon Top
25947,Women,Accessories,Scarves,Scarves,Brown,Summer,2012,Casual,Femella Women Brown Scarf
5865,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,ADIDAS Men's Twelve Faster T-shirt
39716,Women,Apparel,Dress,Dresses,Blue,Summer,2012,Casual,Arrow Woman Women Blue Dress
11940,Men,Footwear,Sandal,Sandals,Black,Summer,2011,Casual,Ganuchi Men Casual Black Sandals
29584,Men,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Indigo Nation Men Printed Black T-shirt
28456,Women,Apparel,Bottomwear,Skirts,Blue,Summer,2012,Sports,Urban Yoga Women Blue Skirt With Leggings
19311,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011,Casual,Nike Men Air Rift MTR White Casual Shoe
42089,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,ADIDAS Men White Corona Sports Shoes
49461,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,2012,Casual,Vans Men Blue Era Scilla Plaid Shoes
9694,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Classic Polo Men Vulcan White Polo Tshirts
23882,Men,Footwear,Shoes,Sports Shoes,Grey,Fall,2011,Sports,Fila Men Destiny Grey Sports Shoes
34835,Men,Footwear,Shoes,Sports Shoes,Blue,Summer,2012,Sports,ADIDAS Men Blue Chill Sports Shoes
15984,Men,Apparel,Topwear,Shirts,Yellow,Fall,2011,Casual,Turtle Check Men Yellow Shirt
41268,Men,Accessories,Wallets,Wallets,Black,Summer,2012,Casual,Arrow Men Black Wallet
14856,Women,Accessories,Wallets,Wallets,Beige,Summer,2011,Casual,United Colors of Benetton Women Solid Beige Wallets
33648,Men,Footwear,Sandal,Sandals,Brown,Summer,2012,Casual,Lotto Men Ridge Brown Sandals
59297,Men,Apparel,Topwear,Shirts,White,Fall,2012,Casual,U.S. Polo Assn. Men White & Navy Blue Shirt
27846,Women,Apparel,Topwear,Blazers,Charcoal,Summer,2012,Formal,Scullers For Her Charcoal Blazer
26994,Women,Apparel,Bottomwear,Jeans,Black,Summer,2012,Casual,Jealous 21 Women Black Jeans
49839,Women,Footwear,Flip Flops,Flip Flops,Red,Winter,2012,Casual,iPanema Women Red Flip Flops
31923,Women,Accessories,Bags,Handbags,Blue,Summer,2012,Casual,Fabindia Women Blue Silk Sling Bag
54588,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Sushilas Women Printed Green Kurta
49005,Women,Accessories,Jewellery,Ring,Silver,Summer,2012,Casual,Lucera Women Silver Ring
7158,Men,Apparel,Topwear,Shirts,Green,Fall,2011,Casual,Scullers Men  Green Check Shirt
18495,Men,Footwear,Sandal,Sandals,White,Fall,2011,Casual,Puma Men Fashion Cat White Slipper
19547,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011,Casual,United Colors of Benetton Men Solid Blue Sweatshirt
7964,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Sports,Puma Men's Large Logo Graphic Black T-shirt
39140,Women,Apparel,Apparel Set,Kurta Sets,Black,Summer,2012,Ethnic,Aneri Women Black & Maroon Salwar Suit
